sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,곱창다방 영통점,2420402876,경기도 수원시 영통구 반달로35번길 19,경기도 수원시 영통구 영통동 1010-9번지 대원빌딩 2층 208호 키친웨이브 6호 (곱창다방 영통점),"프랜차이즈,픽업,한식",16705,37.2517452,127.0762053
수원시,BBQ(수원정자행운점),8263601341,경기도 수원시 장안구 정자천로189번길 40,"경기도 수원시 장안구 정자동 873-3번지 연꽃마을벽산아파트 분산상가동 101,102호","치킨,프랜차이즈,픽업",16335,37.298615,126.9951099
수원시,최고당돈가스(수원매탄점),8183401685,경기도 수원시 영통구 매영로 50,경기도 수원시 영통구 매탄동 212-22번지 1층,"일식·돈까스,프랜차이즈,픽업",16540,37.2688397,127.0480593
수원시,카페 우리,3130580128,경기도 수원시 권선구 고현로 29-1,경기도 수원시 권선구 고색동 141-16번지 1층,"카페,픽업",16649,37.2505893,126.9868383
수원시,교촌치킨(매탄1호점),6541502696,경기도 수원시 영통구 매탄로79번길 5-5,경기도 수원시 영통구 매탄동 1272-2번지 1층,"치킨,프랜차이즈,픽업",16546,37.2579633,127.0419106
수원시,헬린이식단 영통점,4402202042,경기도 수원시 영통구 덕영대로1673번길 14,경기도 수원시 영통구 영통동 990-11번지 1층 헬린이식단,"카페,픽업",16702,37.2481601,127.0743874
수원시,BBQ(수원조원점),1057300560,경기도 수원시 장안구 조원로 94-1,경기도 수원시 장안구 조원동 733-20번지 1층,"치킨,프랜차이즈,픽업",16282,37.301297,127.0156845
수원시,냠냠숯불두마리치킨 북수원점,2542902019,경기도 수원시 팔달구 동말로 3,경기도 수원시 팔달구 화서동 137-2번지 1층 냠냠숯불두마리치킨,"치킨,프랜차이즈,픽업",16443,37.2771425,126.9947796
수원시,TOP POT,1113832810,경기도 수원시 장안구 정조로1102번길 2,경기도 수원시 장안구 송죽동 455-18번지 2층,"카페,픽업",16303,37.3030255,127.0021328
수원시,얼어죽어도 냉면,4084564650,경기도 수원시 장안구 정조로1102번길 2,경기도 수원시 장안구 송죽동 455-18번지 2층,"픽업,한식",16303,37.3030255,127.0021328
수원시,덮찌,1811102996,경기도 수원시 장안구 정조로1102번길 2,경기도 수원시 장안구 송죽동 455-18번지 2층,"카페,픽업",16303,37.3030255,127.0021328
수원시,두가지떡볶이 광교점,5120969179,경기도 수원시 영통구 광교로 116,경기도 수원시 영통구 이의동 1351-2번지 111호,"분식,프랜차이즈,픽업",16509,37.2908895,127.0461562
수원시,자담치킨(동수원사거리점),6993501062,경기도 수원시 팔달구 경수대로 549,경기도 수원시 팔달구 인계동 955-1번지 108-1호,"일식·돈까스,치킨,프랜차이즈,피자·양식,픽업",16482,37.2750585,127.0293431
수원시,아이엠도넛,2883301403,경기도 수원시 권선구 매송고색로 753,경기도 수원시 권선구 고색동 29-11번지 1층 아이엠도넛,"카페,프랜차이즈,픽업",16602,37.2527969,126.9866316
수원시,명동감자탕,8516500673,경기도 수원시 장안구 정자로 146,경기도 수원시 장안구 정자동 454번지 1층 명동감자탕,"찜·탕,픽업",16339,37.3039485,126.9923661
수원시,밀아당,7541502638,경기도 수원시 권선구 경수대로302번길 22,경기도 수원시 권선구 권선동 1188번지 권선한양아파트 상가 지하1층 밀아당,카페,16585,37.2531226,127.0213493
수원시,남도포차,6871200979,경기도 수원시 장안구 파장로 105,경기도 수원시 장안구 정자동 541-19번지 1층,"픽업,한식",16337,37.3080845,126.989946
수원시,두찜 수원호매실점,6624600941,경기도 수원시 권선구 매실로 38,경기도 수원시 권선구 호매실동 406-3번지 호매실동,"찜·탕,프랜차이즈,피자·양식,픽업,한식",16400,37.2673669,126.9551448
수원시,푸라닭(수원서둔점),1276100908,경기도 수원시 권선구 서둔로 267,경기도 수원시 권선구 탑동 1-3번지 푸라닭수원서둔점,"치킨,프랜차이즈,픽업",16604,37.2753239,126.9786619
수원시,교동찜닭 광교점,5672202110,경기도 수원시 영통구 도청로 95,경기도 수원시 영통구 이의동 1351-6번지 베타동 1층 215호 교동찜닭,"찜·탕,프랜차이즈,픽업",16509,37.2909225,127.0477016
수원시,CU(권선삼성점),4933500897,경기도 수원시 권선구 경수대로302번길 29,경기도 수원시 권선구 권선동 1185-1번지 권선삼성아파트 CU(권선삼성점),"편의점,프랜차이즈",16583,37.2535563,127.0238386
수원시,CU(조원드림점),6840502626,경기도 수원시 장안구 송정로187번길 35-6,경기도 수원시 장안구 조원동 766-2번지 CU(조원드림점),"편의점,프랜차이즈",16286,37.2999424,127.0150726
수원시,CU(망포프라자점),3310702366,경기도 수원시 영통구 태장로 83,경기도 수원시 영통구 망포동 380-1번지 CU(망포프라자점),"편의점,프랜차이즈",16688,37.2393195,127.0553497
수원시,CU(조원웰빙점),3421102252,경기도 수원시 장안구 경수대로847번길 17,경기도 수원시 장안구 조원동 637-3번지 CU(조원웰빙점),"편의점,프랜차이즈",16309,37.2959986,127.0139132
수원시,CU(영통경희대점),7400201848,경기도 수원시 영통구 영일로 8,경기도 수원시 영통구 영통동 1023-1번지 CU(영통경희대점),"편의점,프랜차이즈",16702,37.2484184,127.0760435
수원시,CU(영통8단지점),6620100784,경기도 수원시 영통구 영통로290번길 28,경기도 수원시 영통구 영통동 972-8번지 영통8단지점 CU,"편의점,프랜차이즈",16698,37.2512526,127.0622144
