sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
안성시,538939,안성공도금호어울림3단지 303동앞놀이터,20080131,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 786-1번지 안성공도금호어울림,37.0037221178,127.1704913743
안성시,538941,안성공도금호어울림3단지 306동앞놀이터,20080131,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 786-1번지 안성공도금호어울림,37.0037221178,127.1704913743
안성시,36704,청송근린공원,20061229,도시공원,공공,실외,17560,경기도 안성시 공도읍 공도5로 26,경기도 안성시 공도읍 만정리 788-2번지,37.0033586276,127.1726958695
안성시,3046,참아름2단지아파트 놀이터2,20080722,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,3045,참아름2단지아파트 놀이터1,20080722,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,3047,참아름2단지아파트 놀이터3,20080722,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,3044,참아름5단지아파트 놀이터2,20100525,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,3048,참아름2단지아파트 유아놀이터,20080722,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,3043,참아름5단지아파트 놀이터1,20100525,주택단지,민간,실외,17560,,경기도 안성시 공도읍 만정리 788-4번지 경기도시공사참아름,37.0024275967,127.1750488709
안성시,582578,경기안성시육아종합지원센터(공도읍),20220502,육아종합지원센터,공공,실내,17560,경기도 안성시 공도읍 공도4로 8,경기도 안성시 공도읍 만정리 793-1번지,37.0010143881,127.172514854
안성시,36703,중앙어린이공원 2,20061229,도시공원,공공,실외,17561,경기도 안성시 공도읍 공도3로 19,경기도 안성시 공도읍 만정리 805-1번지,37.0013499893,127.1700070899
안성시,36702,중앙어린이공원 1,20091009,도시공원,공공,실외,17561,경기도 안성시 공도읍 공도3로 9-4,경기도 안성시 공도읍 만정리 805-2,37.0007193647,127.1701446836
안성시,560386,본가왕뼈 감자탕(실내놀이터),20170405,식품접객업소,민간,실내,17561,경기도 안성시 공도읍 공도3로 7,경기도 안성시 공도읍 만정리 815-4번지,37.0003504973,127.1704047735
안성시,533288,KCC스위첸아파트 106동 앞 놀이터,20100504,주택단지,민간,실외,17559,,경기도 안성시 공도읍 만정리 877번지 KCC스위첸아파트,37.0027935363,127.1770141977
안성시,533285,KCC스위첸아파트 111동 앞 놀이터,20100504,주택단지,민간,실외,17559,,경기도 안성시 공도읍 만정리 877번지 케이씨씨스위첸,37.0027935363,127.1770141977
안성시,533286,KCC스위첸아파트 113동 앞 놀이터,20100504,주택단지,민간,실외,17559,,경기도 안성시 공도읍 만정리 877번지 케이씨씨스위첸,37.0027935363,127.1770141977
안성시,533290,KCC스위첸아파트  102동 앞 놀이터,20100504,주택단지,민간,실외,17559,,경기도 안성시 공도읍 만정리 877번지 케이씨씨스위첸,37.0027935363,127.1770141977
안성시,2343,"벽산블루밍 101동,113동 앞 놀이터",20100811,주택단지,민간,실외,17559,,경기도 안성시 공도읍 만정리 880번지 디자인시티블루밍,36.9987529629,127.1762333376
안성시,37970,퇴미1근린공원,20100819,도시공원,공공,실외,17559,,경기도 안성시 공도읍 만정리 880번지 디자인시티블루밍,36.9987529629,127.1762333376
