sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,tot_faclt_scale,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,김밥이랑찌개랑,20111026,영업,,,,,통닭(치킨),"경기도 시흥시 시청로68번길 4 (장현동, 장현I엔플러스B102-1호)",경기도 시흥시 장현동 541-4 장현I엔플러스B102-1호 ,14998,37.3804882,126.8005302
시흥시,또잇카페배곧점,20210604,영업,,,,,기타,"경기도 시흥시 서울대학로 59-47, 1층 111,112,113호 (배곧동)",경기도 시흥시 배곧동 291-1 ,15012,37.3601724,126.7077839
시흥시,화끈한닭발,20111028,영업,,,,,한식,"경기도 시흥시 시흥대로1089번길 10 (신천동,번지 1층)",경기도 시흥시 신천동 879-25 번지 1층 ,14951,37.4333028,126.7920702
시흥시,미카도스시은계점,20191128,영업,,,,,기타,"경기도 시흥시 은계번영길 19, 은계 디스퀘어큐브 1층 102,103호 (은행동)",경기도 시흥시 은행동 646-8 은계 디스퀘어큐브 ,14922,37.4372709,126.8030427
시흥시,토마토,20111031,영업,,,,,한식,"경기도 시흥시 정왕천로411번길 37, 지하1층 (정왕동)",경기도 시흥시 정왕동 1204-1 지하1층 ,15052,37.3462867,126.7485065
시흥시,우리동네삼겹,20111101,영업,,,,,호프/통닭,"경기도 시흥시 서촌상가2길 9-1, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1728-13 정풍프라자 103호,15036,37.3469948,126.7338334
시흥시,허흑오리 정왕점,20111101,영업,,,,,한식,"경기도 시흥시 군서로10번길 14, 1층 (정왕동)",경기도 시흥시 정왕동 1194-12 ,15052,37.3448718,126.7513995
시흥시,나그네족발보쌈,20070620,영업,,,,,호프/통닭,"경기도 시흥시 함송로14번길 5-16, 2층 일부호 (정왕동)",경기도 시흥시 정왕동 1884-7 202호,15020,37.3629045,126.7297644
시흥시,장터치킨,20111104,영업,,,,,한식,"경기도 시흥시 삼미시장4길 18, 1층 (신천동)",경기도 시흥시 신천동 740-7 ,14948,37.4397385,126.7831019
시흥시,시화곱창,20190502,영업,,,,,식육(숯불구이),"경기도 시흥시 평안상가4길 8-3, 거성프라자 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1624-1 거성프라자 ,15062,37.3379398,126.7484767
시흥시,백년추어탕보쌈,20111122,영업,,,,,한식,"경기도 시흥시 평안상가5길 23-5, 101~104호 (정왕동)",경기도 시흥시 정왕동 1781-3 101~104호 ,15062,37.3360359,126.7481683
시흥시,전주한식부페,20111124,영업,,,,,한식,"경기도 시흥시 공단1대로 341 (정왕동, 125호, 126호)",경기도 시흥시 정왕동 1289-5 ,15078,37.3316162,126.7378275
시흥시,자담시흥대야점,20111130,영업,,,,,통닭(치킨),"경기도 시흥시 비둘기공원7길 39, 트윈프라자 110, 111, 112호 (대야동)",경기도 시흥시 대야동 544-1 트윈프라자 ,14912,37.4424717,126.7924134
시흥시,루아드디저트,20190530,영업,,,,,커피숍,"경기도 시흥시 산현마을길 33-6, 1층 일부호 (산현동)",경기도 시흥시 산현동 511-7 ,14989,37.3760055,126.8456938
시흥시,멕시카나치킨거모점,20111130,영업,,,,,기타,"경기도 시흥시 군자로492번길 13, 아주아파트 상가 401동 1층 108호 (거모동)",경기도 시흥시 거모동 1735-2 ,15071,37.3456889,126.7829019
시흥시,판다고,20111202,영업,,,,,호프/통닭,"경기도 시흥시 군서로28번길 2, 2층 (정왕동)",경기도 시흥시 정왕동 1201-10 2층 ,15052,37.3451275,126.7490712
시흥시,설원양꼬치,20180814,영업,,,,,식육(숯불구이),"경기도 시흥시 군서로28번길 10, 1층 101호 (정왕동)",경기도 시흥시 정왕동 1201-15 ,15052,37.3455538,126.7494847
시흥시,어깨동무,20210311,영업,,,,,기타,"경기도 시흥시 수인로3395번길 18-1, 성싱제일교회 1층 101-1,101-2호 (신천동)",경기도 시흥시 신천동 755-23 성싱제일교회 ,14948,37.4401136,126.7810409
시흥시,만석만두전골,20170223,영업,,,,,한식,"경기도 시흥시 복지로91번길 4-1, 1층 101호 (대야동)",경기도 시흥시 대야동 443-7 ,14906,37.4476282,126.7910421
시흥시,닭집,20140430,영업,,,,,한식,"경기도 시흥시 시흥대로 1144, 119동 101호 (신천동)",경기도 시흥시 신천동 949 시흥신천삼환나우빌 119동 101호,14950,37.4361732,126.7912519
시흥시,진달래반점,20070612,영업,,,,,중국식,"경기도 시흥시 군서로 13, 1층 (정왕동)",경기도 시흥시 정왕동 1214-3 1층 ,15052,37.3442045,126.7499271
시흥시,어부네코다리조림,20181005,영업,,,,,한식,"경기도 시흥시 마유로 226, 1층 105호 (정왕동)",경기도 시흥시 정왕동 1366-14 파인힐 오피스텔 ,15079,37.3376764,126.7285659
시흥시,피자나라치킨공주,20201007,영업,,,,,경양식,"경기도 시흥시 배곧2로 95, 배곧 유호 N-CITY 2차 1층 118호 (배곧동)",경기도 시흥시 배곧동 229-1 배곧 유호 N-CITY 2차 ,15011,37.3661941,126.7269414
시흥시,스콜피온,20201005,영업,,,,,경양식,"경기도 시흥시 복지로 90, CGV 시네마타워 6층 612호 일부호 (대야동)",경기도 시흥시 대야동 568-1 CGV ,14908,37.447001,126.7916698
시흥시,통큰두마리찜닭(&)수원왕갈비통닭,20201005,영업,,,,,한식,"경기도 시흥시 서울대학로264번길 74, 배곧헤리움 어반크로스 1차 B동 213호 (배곧동)",경기도 시흥시 배곧동 234 배곧헤리움 어반크로스 1차 ,15011,37.3660343,126.7286935
시흥시,미스터카스테라시흥점,20210917,영업,,,,,기타 휴게음식점,"경기도 시흥시 서울대학로264번길 12, 208동 1층 B-109호 일부호 (배곧동, 시흥배곧 C2블럭 호반 써밋플레이스 아파트)",경기도 시흥시 배곧동 221 시흥배곧 C2블럭 호반 써밋플레이스 아파트 ,15011,37.3684758,126.7257548
시흥시,달리는커피(시흥목감점),20210917,영업,,,,,기타 휴게음식점,"경기도 시흥시 목감둘레로 258, 메트로타워1 1층 108호 (조남동)",경기도 시흥시 조남동 711-2 메트로타워1 ,14986,37.3809982,126.8620288
시흥시,고기굽는방앗간시흥시화점,20200403,영업,,,,,한식,"경기도 시흥시 옥구상가2길 9, 1층 101,102,103,104호 (정왕동)",경기도 시흥시 정왕동 1859-12 ,15040,37.3533392,126.7239682
시흥시,LA북창동순두부 시흥능곡점,20111212,영업,,,,,한식,"경기도 시흥시 장현능곡로 198, 109~110호 (능곡동)",경기도 시흥시 능곡동 737 109~110호,14995,37.3690811,126.8119974
시흥시,제주본가,20111213,영업,,,,,한식,"경기도 시흥시 은행로173번길 7, 101~104호 (대야동)",경기도 시흥시 대야동 576 101~104호 ,14914,37.4454681,126.7976081
시흥시,동주야밥줘,20111213,영업,,,,,한식,"경기도 시흥시 범안로 525, 1층 일부호 (과림동)",경기도 시흥시 과림동 384-9 ,14926,37.4422662,126.8314387
시흥시,돈우촌,20111216,영업,,,,,한식,"경기도 시흥시 매화1로 37, 1층 (매화동)",경기도 시흥시 매화동 330-4 ,14939,37.4150711,126.8108537
시흥시,한라산도새기,20111219,영업,,,,,한식,"경기도 시흥시 은행로167번길 16, 1층 (대야동)",경기도 시흥시 대야동 572-2 1층 ,14914,37.4449236,126.7969914
시흥시,매운맛의유혹정왕점,20111230,영업,,,,,호프/통닭,"경기도 시흥시 군서로18번길 5, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1200-5 ,15052,37.3449428,126.7497956
시흥시,영자네,20210402,영업,,,,,한식,"경기도 시흥시 은계번영길 9, 골드웨이Ⅰ 1층 109호 (은행동)",경기도 시흥시 은행동 646-4 골드웨이Ⅰ ,14922,37.437524,126.8016387
시흥시,소담한식뷔페,20120110,영업,,,,,한식,"경기도 시흥시 옥구천동로 98, A동 2층 201,202,203호 (정왕동)",경기도 시흥시 정왕동 1702 ,15097,37.33495,126.7101598
시흥시,불닭발동대문엽기떡볶이,20120509,영업,,,,,한식,"경기도 시흥시 비둘기공원6길 13-1, 103호 (대야동)",경기도 시흥시 대야동 541-2 103호,14912,37.4422499,126.7914998
시흥시,또봉이통닭장곡점,20120510,영업,,,,,호프/통닭,"경기도 시흥시 진말로19번길 1, 102호 (장곡동)",경기도 시흥시 장곡동 821-5 102호,15002,37.3789648,126.7854315
시흥시,가장맛있는족발시화점,20120517,영업,,,,,한식,"경기도 시흥시 중심상가로 332 (정왕동, 1층)",경기도 시흥시 정왕동 1782-21 1층 ,15062,37.3364718,126.748672
시흥시,지글지글 숯불구이 한식바베큐,20120518,영업,,,,,한식,"경기도 시흥시 복지로120번길 8, 1층 11호 (대야동)",경기도 시흥시 대야동 280-2 1층 11호,14907,37.4489131,126.7933815
시흥시,매화네양꼬치,20090309,영업,,,,,한식,"경기도 시흥시 신천3길 40-1 (신천동,1층)",경기도 시흥시 신천동 758-13 1층 ,14948,37.4388286,126.7816976
시흥시,워시존시흥장현점,20190211,영업,,,,,커피숍,"경기도 시흥시 황고개로 341, 1층 (군자동)",경기도 시흥시 군자동 388 ,15000,37.3618204,126.7868702
시흥시,불닭발엽기떡볶이,20120522,영업,,,,,한식,"경기도 시흥시 승지로69번길 3, 1층 (능곡동)",경기도 시흥시 능곡동 516 ,14994,37.3700892,126.8102151
시흥시,뽀글이생돼지김치찌개본점,20190717,영업,,,,,한식,경기도 시흥시 엠티브이26로19번길 1 (주)에이스타워 1층 110호 (정왕동),경기도 시흥시 정왕동 2654-2 (주)에이스타워 ,15118,37.3209533,126.7023269
시흥시,마라도참치,20120523,영업,,,,,한식,"경기도 시흥시 월곶중앙로 58, 105,106호 (월곶동)",경기도 시흥시 월곶동 1009-2 ,14966,37.3889417,126.7390098
시흥시,즉석연변 순대,20120530,영업,,,,,한식,"경기도 시흥시 군서마을로 18-4, 102호 (정왕동)",경기도 시흥시 정왕동 1214 102호,15052,37.3444098,126.749609
시흥시,왕서방,20120607,영업,,,,,중국식,"경기도 시흥시 군자로 320-2, 1층 (거모동)",경기도 시흥시 거모동 585 1층 ,15044,37.3577649,126.7721727
시흥시,만수정(시흥점),20120607,영업,,,,,한식,"경기도 시흥시 과림저수지길 84-11, 나동 (과림동)",경기도 시흥시 과림동 208-5 나동 ,14926,37.4530648,126.8283126
