div,entrps_nm,main_biz_cont,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
도소매업,가나북스,32(1987년),031-408-8811,20221124,"경기도 시흥시 수인로 2323, 409호, 414호, 415호","경기도 시흥시 목감동 235-2번지 409호,414호,415호",14984,37.3866531,126.8626473
도소매업,깨?는부부,26(1993년),031-495-7282,20221124,경기도 시흥시 도일로 100-4,경기도 시흥시 거모동 1669-24번지,15069,37.3393863,126.7840569
서비스업,맨스헤어몽스튜디오,23(1997년),031-311-6623,20221124,경기도 시흥시 은행로 66,경기도 시흥시 은행동 105-2번지,14920,37.4378067,126.7961198
음식점업,벼슬구지뼈다귀감자탕,20(2000년),031-318-8199,20221124,경기도 시흥시 연성로29번길 14-1,경기도 시흥시 하중동 867-12번지,14976,37.3919522,126.8064111
음식점업,송탄부대찌개,20(2000년),031-318-5377,20221124,"경기도 시흥시 시청로68번길 10, 101호(장현동, 봉빈빌딩)",경기도 시흥시 장현동 545-5번지 봉빈빌딩 101호,14998,37.3809407,126.8008422
음식점업,흙과사람들,20(2001년),031-318-3822,20221124,"경기도 시흥시 비둘기공원로 21(대야동 201,202,203)","경기도 시흥시 대야동 562-5번지 대야하이빌 (대야동 201,202,203)",14908,37.4439484,126.7921734
도소매업,한주토피스,30(1991년),031-435-9600,20221124,"경기도 시흥시 공단1대로 253(정왕동, 한주토피스)",경기도 시흥시 정왕동 1366-8번지 한주토피스,15079,37.3357628,126.7295224
