시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,학교급
초등학교,소래초등학교,경기도 시흥시 호현로27번길 14(신천동),경기도 시흥시 신천동 704-2,37.44407856,126.783527,경기도 시흥시청,시흥경찰서,Y,2,4,2026-04-01,초등학교
초등학교,도원초등학교,경기도 시흥시 수인로3413번길 34(신천동),경기도 시흥시 신천동 438-1,37.44011464,126.7779879,경기도 시흥시청,시흥경찰서,Y,2,4,2026-04-01,초등학교
유치원,세심유치원,경기도 시흥시 시흥대로 1059(신천동),경기도 시흥시 신천동 889-6,37.43061883,126.7923065,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
유치원,아름유치원,경기도 시흥시 포도원로 96(신천동),경기도 시흥시 신천동 213,37.4342842,126.7844216,경기도 시흥시청,시흥경찰서,Y,2,8,2026-04-01,
유치원,진영유치원,경기도 시흥시 포도원로 39(신천동),경기도 시흥시 신천동 826-6,37.4360682,126.7783555,경기도 시흥시청,시흥경찰서,Y,1,7,2026-04-01,
어린이집,시립신천어린이집,경기도 시흥시 신천로79번길 6,경기도 시흥시 신천동 763-9,37.43747934,126.7853901,경기도 시흥시청,시흥경찰서,N,0,6,2026-04-01,
어린이집,글로벌아름나라어린이집,경기도 시흥시 시흥대로1089번길 19-7,경기도 시흥시 신천동 874-13,37.43180995,126.7892744,경기도 시흥시청,시흥경찰서,N,0,6,2026-04-01,
초등학교,은빛초등학교,경기도 시흥시 은계로142번길 6,경기도 시흥시 은행동 161-3,37.43428798,126.8051816,경기도 시흥시청,시흥경찰서,Y,1,20,2026-04-01,초등학교
유치원,은계유치원,경기도 시흥시 은계중앙로 165,경기도 시흥시 은행동 626,37.4406478,126.8078064,경기도 시흥시청,시흥경찰서,N,0,10,2026-04-01,
초등학교,은계초등학교,경기도 시흥시 대은로103번길 24(대야동),경기도 시흥시 대야동 584,37.4475641,126.7978241,경기도 시흥시청,시흥경찰서,Y,2,3,2026-04-01,초등학교
초등학교,대야초등학교,경기도 시흥시 대골안길 31(대야동),경기도 시흥시 대야동 456-2,37.44685063,126.7898484,경기도 시흥시청,시흥경찰서,Y,4,4,2026-04-01,초등학교
초등학교,계수초등학교,경기도 시흥시 계수로 203,경기도 시흥시 계수동 145-1,37.4531553,126.820571,경기도 시흥시청,시흥경찰서,Y,2,3,2026-04-01,초등학교
어린이집,파랑새몬테소리어린이집,경기도 시흥시 호현로34번안길 16(대야동),경기도 시흥시 대야동 493-2,37.44397255,126.7866155,경기도 시흥시청,시흥경찰서,Y,1,4,2026-04-01,
유치원,소망유치원,경기도 시흥시 대골안길 26-10(대야동),경기도 시흥시 대야동 457-12,37.44754055,126.7886621,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
어린이집,현진어린이집,경기도 시흥시 대골길 35-1(대야동),경기도 시흥시 대야동 452-9,37.4479666,126.7888188,경기도 시흥시청,시흥경찰서,Y,1,5,2026-04-01,
유치원,아이그루유치원,경기도 시흥시 대골안길 26-1 (대야동),경기도 시흥시 대야동 458-3,37.44713393,126.7890118,경기도 시흥시청,시흥경찰서,Y,4,4,2026-04-01,
유치원,소래유치원,경기도 시흥시 윗대야2길 17,경기도 시흥시 대야동 121-1,37.4555196,126.7867125,경기도 시흥시청,시흥경찰서,Y,1,4,2026-04-01,
초등학교,군자초등학교,경기도 시흥시 군자로 539(거모동),경기도 시흥시 거모동 1582-1,37.34381224,126.7870761,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,초등학교
초등학교,도일초등학교,경기도 시흥시 군자로465번길 7(거모동),경기도 시흥시 거모동 1379,37.34912613,126.7819357,경기도 시흥시청,시흥경찰서,Y,2,5,2026-04-01,초등학교
어린이집,시립군자어린이집,경기도 시흥시 도일로92번길 9-12(거모동),경기도 시흥시 거모동 1776-1,37.3396002,126.7852521,경기도 시흥시청,시흥경찰서,Y,1,3,2026-04-01,
어린이집,거모어린이집,경기도 시흥시 한우물로 49(거모동),경기도 시흥시 거모동 1730-7,37.3468693,126.7828494,경기도 시흥시청,시흥경찰서,Y,1,7,2026-04-01,
어린이집,썸머힐어린이집,경기도 시흥시 도일로112번길 12,경기도 시흥시 거모동 1653-1,37.3403385,126.7851024,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
어린이집,이튼어린이집,경기도 시흥시 도일로123번길 23-1 (거모동),경기도 시흥시 거모동 1747-10,37.34324462,126.7821344,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
어린이집,칼비테어린이집,경기도 시흥시 도일로135번길 24,경기도 시흥시 거모동 1744-17,37.3439262,126.7834003,경기도 시흥시청,시흥경찰서,N,0,10,2026-04-01,
어린이집,푸른솔어린이집,경기도 시흥시 군서로46번길 14-1,경기도 시흥시 정왕동 1186-11,37.3469117,126.7482653,경기도 시흥시청,시흥경찰서,N,0,5,2026-04-01,
어린이집,고은어린이집,경기도 시흥시 군서로18번길 19,경기도 시흥시 정왕동 1191-1,37.345948,126.750759,경기도 시흥시청,시흥경찰서,Y,4,4,2026-04-01,
어린이집,시립정왕2동어린이집,경기도 시흥시 정왕대로118번길 5,경기도 시흥시 정왕동 1849-1,37.35110223,126.728441,경기도 시흥시청,시흥경찰서,N,0,18,2026-04-01,
초등학교,배곧라온초등학교,경기도 시흥시 배곧4로 94-39,경기도 시흥시 정왕동 1772-28,37.37227235,126.7350516,경기도 시흥시청,시흥경찰서,N,0,30,2026-04-01,초등학교
초등학교,배곧해솔초등학교,경기도 시흥시 서울대학로 150-17,경기도 시흥시 정왕동 2560,37.36028995,126.7181156,경기도 시흥시청,시흥경찰서,N,0,35,2026-04-01,초등학교
초등학교,배곧누리초등학교,경기도 시흥시 해송십리로 472-30,경기도 시흥시 정왕동 2384,37.38260925,126.7319868,경기도 시흥시청,시흥경찰서,N,0,20,2026-04-01,초등학교
어린이집,아라어린이집,경기도 시흥시 오동마을로45번길 27,경기도 시흥시 정왕동 2314-34,37.35383226,126.7474078,경기도 시흥시청,시흥경찰서,N,0,7,2026-04-01,
초등학교,은행초등학교,경기도 시흥시 대은로104번길 29-10(은행동),경기도 시흥시 은행동 545,37.4425879,126.8007813,경기도 시흥시청,시흥경찰서,Y,2,7,2026-04-01,초등학교
초등학교,검바위초등학교,경기도 시흥시 수인로3247번길 59(은행동),경기도 시흥시 은행동 262,37.43261256,126.7990032,경기도 시흥시청,시흥경찰서,Y,2,6,2026-04-01,초등학교
초등학교,웃터골초등학교,경기도 시흥시 은행고길 18(은행동),경기도 시흥시 은행동 94-11,37.43968055,126.7992598,경기도 시흥시청,시흥경찰서,Y,2,7,2026-04-01,초등학교
초등학교,금모래초등학교,경기도 시흥시 대은로 16-29(은행동),경기도 시흥시 은행동 551-2,37.44160176,126.7952062,경기도 시흥시청,시흥경찰서,Y,3,12,2026-04-01,초등학교
유치원,해피아이유치원,경기도 시흥시 은행로 92(은행동),경기도 시흥시 은행동 547-7,37.43971713,126.7974517,경기도 시흥시청,시흥경찰서,Y,1,22,2026-04-01,
유치원,등밭유치원,경기도 시흥시 은행로 280(은행동),경기도 시흥시 은행동 549-1,37.44259307,126.7974035,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,
유치원,시흥유치원,경기도 시흥시 은행로12번길 24(은행동),경기도 시흥시 은행동 277-1,37.4329475,126.7958307,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
유치원,은행유치원,경기도 시흥시 검바위1로 9(은행동),경기도 시흥시 은행동 321-1,37.4304196,126.7938411,경기도 시흥시청,시흥경찰서,Y,1,9,2026-04-01,
어린이집,동화어린이집,경기도 시흥시 수인로3247번길 110(은행동),경기도 시흥시 은행동 299,37.4295345,126.7960388,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,
