기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
헬로우짐(hellogym)휘트니스,체육시설,,"경기도 시흥시 정왕대로 230, 제일프라자 5층 (정왕동)",126.7384940896,37.3449788088,031-504-0111,경기데이터드림
트윈스포츠센터,체육시설,,"경기도 시흥시 비둘기공원7길 45, 트윈프라자 B동 5,6층 (대야동)",126.7921350993,37.4420193646,031-311-0072,경기데이터드림
아쿠아온,체육시설,,"경기도 시흥시 장현능곡로 155, 장현지구 상업6BL 4층 411호 (능곡동)",126.8072928232,37.3710186339,031-315-2288,경기데이터드림
시흥시공공스포츠클럽,체육시설,종합 스포츠시설,경기도 시흥시 서해안로 1589,126.784838735292,37.4477156453494,,공공데이터포털(상가업소정보)
스포츠앤코,체육시설,종합 스포츠시설,경기도 시흥시 양우재길 37,126.78555282774,37.4232093534859,,공공데이터포털(상가업소정보)
무극멀티짐,체육시설,종합 스포츠시설,경기도 시흥시 시청로80번길 6,126.799469651827,37.3814084501779,,공공데이터포털(상가업소정보)
캐치클라이밍짐,체육시설,종합 스포츠시설,경기도 시흥시 장현장곡로 2,126.789292178642,37.3788678910891,,공공데이터포털(상가업소정보)
