기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
주택단지,놀이체험시설,장현유승한내들 실내놀이시설,경기도 시흥시 장곡동 936번지 유승한내들퍼스트파크,126.7918782942,37.3780571632,,경기데이터드림
도시공원,놀이체험시설,가온공원 숲놀이터,경기도 시흥시 장곡동 938-1번지,126.7923365391,37.3761166475,,경기데이터드림
주택단지,놀이체험시설,시흥장현데시앙아파트 -유아놀이터,경기도 시흥시 장곡동 942번지 시흥장현데시앙,126.790767369,37.3760855257,,경기데이터드림
주택단지,놀이체험시설,시흥장현데시앙아파트 -어린이놀이터2,경기도 시흥시 장곡동 942번지 시흥장현데시앙,126.790767369,37.3760855257,,경기데이터드림
주택단지,놀이체험시설,시흥장현데시앙아파트 -어린이놀이터1,경기도 시흥시 장곡동 942번지 시흥장현데시앙,126.790767369,37.3760855257,,경기데이터드림
주택단지,놀이체험시설,트리블센텀 - 키즈복합존,"경기도 시흥시 장현동 160, 코오롱 시흥장현 LH아파트 A-8블럭",,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 네이처뷰 어린이놀이터2(2605동 앞),경기도 시흥시 장현동 171-1,,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 네이처뷰 어린이놀이터1(2603동앞),경기도 시흥시 장현동 171-1,,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 네이처뷰 어린이집 유아놀이터2(경로당 옆),경기도 시흥시 장현동 171-1,,,,경기데이터드림
어린이집,놀이체험시설,시흥시청어린이집,경기도 시흥시 시청로 20,126.8040790718,37.3802568167,,경기데이터드림
주택단지,놀이체험시설,신혼희망타운행복주택아파트 1202동앞 어린이놀이터3,경기도 시흥시 장현동 342-1,,,,경기데이터드림
주택단지,놀이체험시설,신혼희망타운행복주택아파트 어린이집앞 유아놀이터,경기도 시흥시 장현동 342-1,,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 A12BL 신혼희망타운 아파트 어린이물놀이터,경기도 시흥시 장현동 342-1,,,,경기데이터드림
도시공원,놀이체험시설,새재어린이공원 어린이 놀이시설,경기도 시흥시 시청로72번길 25-6,126.8013118972,37.3826741912,,경기데이터드림
어린이집,놀이체험시설,크레용어린이집(1층),경기도 시흥시 시청로72번길 15-2,126.8008235371,37.381742897,,경기데이터드림
어린이집,놀이체험시설,크레용어린이집 옥상놀이터,경기도 시흥시 시청로72번길 15-2,126.8008235371,37.381742897,,경기데이터드림
어린이집,놀이체험시설,시흥하이 어린이집 옥상놀이터,경기도 시흥시 시청로72번길 11-1,126.8003752599,37.3813616716,,경기데이터드림
놀이제공영업소,놀이체험시설,바니거니 시흥시청점,경기도 시흥시 시청로68번길 3,126.8000647859,37.3807378912,,경기데이터드림
주택단지,놀이체험시설,새재마을 대동아파트,경기도 시흥시 장현동 540번지 대동아파트,126.8005272059,37.3795958909,,경기데이터드림
주택단지,놀이체험시설,새재마을  청구아파트,경기도 시흥시 장현동 540번지 청구아파트,126.7991740144,37.3805703696,,경기데이터드림
주택단지,놀이체험시설,루벤시아 어린이놀이터1 (1002동 옆),경기도 시흥시 장현동 569번지 시흥장현루벤시아2차,126.7970201382,37.3826127018,,경기데이터드림
주택단지,놀이체험시설,루벤시아 유아놀이터 (단지 내 유치원 뒤),경기도 시흥시 장현동 569번지 시흥장현루벤시아2차,126.7970201382,37.3826127018,,경기데이터드림
주택단지,놀이체험시설,루벤시아 어린이놀이터2 (1004동 뒤),경기도 시흥시 장현동 569번지 시흥장현루벤시아2차,126.7970201382,37.3826127018,,경기데이터드림
주택단지,놀이체험시설,LH TRIPLE CENTUM 2506동 앞 촉촉놀이터,경기도 시흥시 장현동 580번지 엘에이치트리플센텀,126.7968224677,37.3820076109,,경기데이터드림
주택단지,놀이체험시설,LH TRIPLE CENTUM 2505동 앞 숲속놀이터,경기도 시흥시 장현동 580번지 엘에이치트리플센텀,126.7968224677,37.3820076109,,경기데이터드림
주택단지,놀이체험시설,LH TRIPLE CENTUM 2507동 앞 비가와도놀이터,경기도 시흥시 장현동 580번지 엘에이치트리플센텀,126.7968224677,37.3820076109,,경기데이터드림
주택단지,놀이체험시설,도담도담놀이터,경기도 시흥시 장현순환로 20,126.7936908088,37.3798977773,,경기데이터드림
주택단지,놀이체험시설,시흥장현A12블록 신혼희망타운 어린이놀이터2(2202동),경기도 시흥시 장현순환로 20,126.7936908088,37.3798977773,,경기데이터드림
도시공원,놀이체험시설,가온공원 자가발전모노레일,경기도 시흥시 장현순환로 50,126.7959157472,37.3775043947,,경기데이터드림
주택단지,놀이체험시설,장현호반써밋아파트 공용시설 키즈카페(지하1층),경기도 시흥시 장현동 591번지 장현호반써밋,126.7950269845,37.3747138744,,경기데이터드림
주택단지,놀이체험시설,장현호반써밋아파트 어린이놀이터2(1202동앞),경기도 시흥시 장현동 591번지 장현호반써밋,126.7950269845,37.3747138744,,경기데이터드림
주택단지,놀이체험시설,장현호반써밋아파트 어린이놀이터1(1205동앞),경기도 시흥시 장현동 591번지 장현호반써밋,126.7950269845,37.3747138744,,경기데이터드림
주택단지,놀이체험시설,장현호반써밋아파트 어린이놀이터3(101동뒤),경기도 시흥시 장현동 591번지 장현호반써밋,126.7950269845,37.3747138744,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡역 모아 미래도 에듀포레 어린이놀이터3(1109동~1111동 사이),경기도 시흥시 장현동 608번지 시흥능곡역모아미래도에듀포레,126.7969159919,37.3744096409,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡역 모아 미래도 에듀포레 유아놀이터(1107동 앞),경기도 시흥시 장현동 608번지 시흥능곡역모아미래도에듀포레,126.7969159919,37.3744096409,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡역 모아 미래도 에듀포레 어린이놀이터2(1103~1106동 사이),경기도 시흥시 장현동 608번지 시흥능곡역모아미래도에듀포레,126.7969159919,37.3744096409,,경기데이터드림
주택단지,놀이체험시설,시흥 능곡역 모아 미래도 에듀포레 어린이놀이터1(1101~1105동 사이),경기도 시흥시 장현동 608번지 시흥능곡역모아미래도에듀포레,126.7969159919,37.3744096409,,경기데이터드림
주택단지,놀이체험시설,시흥장현 제일풍경채에듀 실내놀이시설,경기도 시흥시 장현동 632번지 제일풍경채에듀,126.7970430373,37.3716882646,,경기데이터드림
주택단지,놀이체험시설,시흥장현 제일풍경채에듀 어린이놀이터1,경기도 시흥시 장현동 632번지 제일풍경채에듀,126.7970430373,37.3716882646,,경기데이터드림
주택단지,놀이체험시설,시흥장현 제일풍경채에듀 어린이놀이터2,경기도 시흥시 장현동 632번지 제일풍경채에듀,126.7970430373,37.3716882646,,경기데이터드림
주택단지,놀이체험시설,시흥장현 제일풍경채에듀 어린이놀이터3,경기도 시흥시 장현동 632번지 제일풍경채에듀,126.7970430373,37.3716882646,,경기데이터드림
주택단지,놀이체험시설,시흥능곡역 장현리슈빌퍼스트클래스아파트 107동 어린이놀이터,경기도 시흥시 장현동 636번지 계룡리슈빌,126.7959765658,37.3697890475,,경기데이터드림
주택단지,놀이체험시설,시흥능곡역 장현리슈빌퍼스트클래스아파트 104동 어린이놀이터,경기도 시흥시 장현동 636번지 계룡리슈빌,126.7959765658,37.3697890475,,경기데이터드림
주택단지,놀이체험시설,시흥능곡역 장현리슈빌퍼스트클래스아파트 어린이집옆 유아놀이터,경기도 시흥시 장현동 636번지 계룡리슈빌,126.7959765658,37.3697890475,,경기데이터드림
주택단지,놀이체험시설,시흥능곡역 장현리슈빌퍼스트클래스아파트 102동 어린이놀이터,경기도 시흥시 장현동 636번지 계룡리슈빌,126.7959765658,37.3697890475,,경기데이터드림
주택단지,놀이체험시설,장현리슈빌 퍼스트클래스아파트 1009동 플레이가든,경기도 시흥시 장현순환로 130,126.7959765658,37.3697890475,,경기데이터드림
주택단지,놀이체험시설,시흥장현 23단지 어린이놀이터 1,경기도 시흥시 장현동 66-2,,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 23단지 어린이집 앞 유아 놀이터,경기도 시흥시 장현동 66-2,,,,경기데이터드림
주택단지,놀이체험시설,시흥장현 23단지 어린이놀이터 2,경기도 시흥시 장현동 66-2,,,,경기데이터드림
도시공원,놀이체험시설,물빛공원 어린이놀이시설,경기도 시흥시 정왕동,,,,경기데이터드림
식품접객업소,놀이체험시설,바베큐팩토리,경기도 시흥시 거북섬서로 45,126.6775657662,37.3301850937,,경기데이터드림
어린이집,놀이체험시설,한솔어린이집 놀이터,경기도 시흥시 정왕천로431번길 4-1,126.7532053173,37.3460731142,,경기데이터드림
어린이집,놀이체험시설,하늘채어린이집 놀이터,경기도 시흥시 군서로54번길 18,126.7477024912,37.3476607121,,경기데이터드림
어린이집,놀이체험시설,푸른솔어린이집 놀이터,경기도 시흥시 군서로46번길 14,126.7481957634,37.3468796568,,경기데이터드림
도시공원,놀이체험시설,별공원 어린이 놀이시설,경기도 시흥시 군서로18번길 16-1,126.7508159077,37.3456614033,,경기데이터드림
식품접객업소,놀이체험시설,강뚝꼬치구이 실내놀이시설,경기도 시흥시 정왕시장길 51,126.7485677164,37.3458093904,,경기데이터드림
놀이제공영업소,놀이체험시설,노리파크 정왕점,경기도 시흥시 정왕시장길 51,126.7485677164,37.3458093904,,경기데이터드림
도시공원,놀이체험시설,무지개공원 어린이 놀이시설,경기도 시흥시 군서로54번길 4,126.7469681789,37.3465743968,,경기데이터드림
어린이집,놀이체험시설,공단선교어린이집,경기도 시흥시 군서로 37,126.7478596349,37.3454894111,,경기데이터드림
어린이집,놀이체험시설,시립산업단지어린이집놀이터,경기도 시흥시 공단1대로259번길 9,126.7300251491,37.3362798573,,경기데이터드림
