정류장아이디,정류장명,Y좌표,X좌표,GPSX좌표,GPSY좌표,링크아이디,정류장유형,환승정류장유무,중앙차로여부,정류장영문명,ARS아이디,기관코드,데이터표출유무,등록아이디,등록일자,비고,표지판유형,행정동코드,권역코드,사용구분,정류장중국어명,정류장일본어명,정류장베트남명,DRT유무,정류장유형명,환승역타입명,표지판유형명
222000835,다산역.경기행복주택,213066.6881700000,458118.6832300000,3737.5184000000,12708.9200000000,2220235100,1000,N,N,Sudong Nonghyup Storage,23035,4136000000,Y,smchoi,2021-07-16 00:00:00.0,,2,4136025900,222,Y,茶山站、京畿幸福住宅,タサン？、京義幸福住宅,Ga Dasan. Nha ？ h？nh phuc t？nh Gyeonggi,N,시내,일반,쉘터
204000258,신흥지구대,212622.2312300000,437753.4029800000,,,2040018200,0100,,N,Sinheung Police Precinct ,05223,4113100000,,,2016-10-20 00:00:00.0,,,4113151000,204,Y,新？派出所,シンフン交番,Tr？m c？nh sat Sinheung,N,마을,,
204000259,가천대역(마을),211168.5755300000,438390.4113300000,3726.8550000000,12707.6100000000,2040019200,0100,,N,Gachon University Station ,05232,4113100000,,smchoi,2019-10-02 00:00:00.0,,0,4113154000,204,Y,嘉泉大？站(村巴),カチョンデ？(マウル),Ga tr？？ng đ？i h？c Gachon (lang),N,마을,,표지판 없음
204000261,중앙시장(마을),211685.3121700000,437701.2348500000,,,2040018600,0100,,N,Jungang Market,05234,4113100000,,,2016-10-20 00:00:00.0,,,4113157000,204,Y,中央市？(村巴),チュンアン市場(マウル),Ch？ Jungang(lang),N,마을,,
204000264,감미옥(마을),211895.5952300000,437997.0962400000,,,2040018700,0100,,N,Gammiok,05237,4113100000,,,2016-10-20 00:00:00.0,,,4113155000,204,Y,感味屋(村巴),カムミオク(マウル),Gammiok (lang),N,마을,,
230001546,송라리.마을회관,246167.7153900000,410834.8698500000,,,2300129300,1000,,,Songna-ri / Community Center,32521,4150000000,,BASIC_INFO,2012-04-04 00:00:00.0,,,4150035000,230,Y,松？里、？村？？,ソンラリ、公民館,Songra-ri. Nha v？n hoa thon,N,시내,,
230001549,이천종합터미널,239593.4053400000,419579.4495900000,,,2300071800,0010,N,N,Icheon Terminal ,51206,4150000000,Y,,2017-07-20 00:00:00.0,,0,4150052000,230,Y,利川？合客？站,イチョン？合タ？ミナル,B？n xe t？ng h？p Icheon,N,시외,일반,표지판 없음
230001552,송정4통,238798.8426900000,422082.4838900000,3717.9946000000,12726.3000000000,2300043700,1000,N,N,Songjeong 4-tong,51303,4150000000,Y,smchoi,2021-08-12 00:00:00.0,,2,4150051500,230,Y,松亭4？,ソンジョン4統,Songjeong-tong 4,N,시내,일반,쉘터
230001555,원부리.청솔가든,256068.0000000000,406988.0000000000,,,2300009100,1000,N,N,Wonbu-ri / Cheongsol Garden,32525,4167000000,Y,ckdejr12 ,2014-06-18 00:00:00.0,,2,4167031000,237,Y,元富里、？松花？,ウォンブリ、チョンソルガ？デン,Wonbu-ri. Cheongsol garden,N,시내,일반,쉘터
230001557,양지병원,233409.0000000000,409633.0000000000,12722.6210000000,3711.2760000000,2280256000,1000,N,N,Yangji Hospital,51099,4150000000,Y,smchoi,2020-02-03 00:00:00.0,,2,4150033000,230,Y,？地？院,ヤンジ病院,B？nh vi？n Yangji,N,시내,일반,쉘터
