region_id,region_name,sido,lawd_cd,valid_from,valid_to,source
gyeonggi-seongnam-sujeong,성남시 수정구,경기도,41131,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-seongnam-jungwon,성남시 중원구,경기도,41133,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-seongnam-bundang,성남시 분당구,경기도,41135,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-anyang-manan,안양시 만안구,경기도,41171,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-anyang-dongan,안양시 동안구,경기도,41173,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-bucheon-wonmi,부천시 원미구,경기도,41192,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-bucheon-sosa,부천시 소사구,경기도,41194,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-bucheon-ojeong,부천시 오정구,경기도,41196,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-ansan-sangnok,안산시 상록구,경기도,41271,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-ansan-danwon,안산시 단원구,경기도,41273,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-goyang-deogyang,고양시 덕양구,경기도,41281,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-goyang-ilsandong,고양시 일산동구,경기도,41285,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-goyang-ilsanseo,고양시 일산서구,경기도,41287,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-yongin-cheoin,용인시 처인구,경기도,41461,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-yongin-giheung,용인시 기흥구,경기도,41463,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-yongin-suji,용인시 수지구,경기도,41465,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-hwaseong-manse,화성시 만세구,경기도,41591,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-hwaseong-hyohaeng,화성시 효행구,경기도,41593,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-hwaseong-byeongjeom,화성시 병점구,경기도,41595,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
gyeonggi-hwaseong-dongtan,화성시 동탄구,경기도,41597,202607,202607,행정표준코드관리시스템 법정동코드(2026-07-01 개편 후)
