sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,온센 TO-GO 시흥점,2026507952,경기도 시흥시 은계번영길 11,경기도 시흥시 은행동 646-5번지 은계프라자 107호 온센텐동,"일식·돈까스,프랜차이즈",14922,37.4374281,126.8021935
시흥시,요거트 아이스크림의정석 대야점,4050764644,경기도 시흥시 복지로 68,경기도 시흥시 대야동 362-9번지 1층,"카페,프랜차이즈",14908,37.4451546,126.7903985
시흥시,편이한카페,2482300746,경기도 시흥시 수풀안길 14-11,경기도 시흥시 조남동 714번지 1층 편이한카페,카페,14986,37.3815817,126.863255
시흥시,판코,3776100537,경기도 시흥시 은계로142번길 7-16,경기도 시흥시 은행동 640-9번지 1층,일식·돈까스,14922,37.4360506,126.8055183
시흥시,프라넬커피,1400690840,경기도 시흥시 비둘기공원7길 46,경기도 시흥시 대야동 541-3번지 월드타운 104호,카페,14912,37.442161,126.7917154
시흥시,가장맛있는족발 목감지구점,7760900809,경기도 시흥시 남왕길 24,"경기도 시흥시 목감동 402-3번지 101,102호","족발·보쌈,프랜차이즈",14985,37.3824328,126.860616
시흥시,남도추어탕,1400890882,경기도 시흥시 비둘기공원6길 25,경기도 시흥시 대야동 541-17번지 견우프라자 101호,한식,14912,37.4416332,126.7908726
시흥시,일식전문 해인,1332604776,경기도 시흥시 호현로49번안길 1,경기도 시흥시 대야동 483-5번지 일식전문해인,일식·돈까스,14904,37.4447484,126.7843202
시흥시,여로집 오징어보쌈 전문점,5840900442,경기도 시흥시 신천3길 41-1,경기도 시흥시 신천동 378-5번지 여로집 오징어보쌈 전문점,족발·보쌈,14948,37.4385839,126.7814738
시흥시,조선초밥,2595200289,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지 서영베니스스퀘어 1층 s-3호,일식·돈까스,15011,37.3681926,126.7306929
시흥시,뚜레쥬르시화점,1401105648,경기도 시흥시 중심상가4길 12,경기도 시흥시 정왕동 1739-3번지 1층 102호,"카페,프랜차이즈",15066,37.3442183,126.7379824
