sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
시흥시,567237,조마루감자탕 배곧신도시점 내 실내놀이시설,20181227,식품접객업소,민간,실내,15011,경기도 시흥시 서울대학로278번길 43-13,경기도 시흥시 배곧동 200-1번지,37.3692258093,126.7301741831
시흥시,587686,우리끼리 키즈카페 스포츠마을 시흥배곧점,20230420,놀이제공영업소,민간,실내,15011,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지,37.3681926149,126.7306929431
시흥시,586347,키즈키득 실내놀이시설,20230215,놀이제공영업소,민간,실내,15011,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지,37.3681926149,126.7306929431
시흥시,564848,점핑고플러스 주식회사-어린이실내놀이시설,20180630,놀이제공영업소,민간,실내,15011,경기도 시흥시 서울대학로278번길 61,경기도 시흥시 배곧동 204번지,37.3681926149,126.7306929431
시흥시,569080,배곧 1호광장 어린이놀이시설,20190515,도시공원,공공,실외,15011,경기도 시흥시 서울대학로264번길 지하 19,경기도 시흥시 배곧동 217,37.3686449743,126.7268033731
시흥시,568864,시흥배곧C2써밋플레이스 ? 어린이놀이터(205동 앞),20190419,주택단지,민간,실외,15011,경기도 시흥시 서울대학로264번길 12,경기도 시흥시 배곧동 221번지,37.3674878259,126.724906683
시흥시,568858,호반시흥배곧써밋플레이스 2차 유아놀이터 (어린이집옆),20190412,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 221번지 시흥배곧 C2블럭 호반 써밋플레이스 아파트,37.368475869,126.7257548192
시흥시,568857,호반시흥배곧써밋플레이스 2차 어린이놀이터1 (202동 203동사이),20190412,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 221번지 시흥배곧 C2블럭 호반 써밋플레이스 아파트,37.368475869,126.7257548192
시흥시,1003095,쿠우쿠우 시흥배곧점,20240927,식품접객업소,민간,실내,15011,경기도 시흥시 서울대학로264번길 26-18,경기도 시흥시 배곧동 224-2번지 해든트윈스오피스텔 1동4층,37.3666666859,126.7261460851
시흥시,589597,(주) 고메스퀘어,20230815,식품접객업소,민간,실내,,,경기도 시흥시 배곧동 230 208-6호,,
시흥시,566417,배곧스파24시사우나 실내놀이시설,20181119,목욕장업소,민간,실내,15011,경기도 시흥시 서울대학로264번길 26-32,경기도 시흥시 배곧동 230번지,37.3666139281,126.7277276688
시흥시,574346,서울대스마트캠퍼스2차 어린이놀이터,20200612,주택단지,민간,실외,15011,경기도 시흥시 서울대학로 173,경기도 시흥시 배곧동 242번지,37.3662219336,126.718821435
시흥시,560331,시흥배곧한라비발디캠퍼스 104동 뒤 어린이놀이터1,20170602,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스,37.3636798562,126.7119931155
시흥시,560333,시흥배곧한라비발디캠퍼스 109동 뒤 유아놀이터,20170602,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스,37.3636798562,126.7119931155
시흥시,560332,시흥배곧한라비발디캠퍼스 105동 뒤 어린이놀이터2,20170602,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스,37.3636798562,126.7119931155
시흥시,560339,시흥배곧한라비발디캠퍼스 109동 앞 어린이놀이터4,20170614,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스,37.3636798562,126.7119931155
시흥시,560338,시흥배곧한라비발디캠퍼스 108동 앞 어린이놀이터3,20170614,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스,37.3636798562,126.7119931155
시흥시,560609,시흥배곧한라비발디 주민편의시설동 실내놀이터,20170624,주택단지,민간,실내,15011,,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스1차,37.3636798562,126.7119931155
시흥시,562628,시흥배곧한라비발디캠퍼스2차 203동옆 어린이놀이터2,20180102,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 245번지 한라비발디캠퍼스2차,37.3619447034,126.7140213156
시흥시,562253,시흥배곧한라비발디캠퍼스2차 208동뒤 어린이놀이터3,20171203,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 245번지 한라비발디캠퍼스2차,37.3619447034,126.7140213156
시흥시,562629,시흥배곧한라비발디캠퍼스2차 204동옆 유아놀이터,20180102,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 245번지 한라비발디캠퍼스2차,37.3619447034,126.7140213156
시흥시,571735,도시갈비 놀이방,20191115,식품접객업소,민간,실내,15011,,경기도 시흥시 배곧동 245번지 한라비발디캠퍼스2차,37.3619447034,126.7140213156
시흥시,562627,시흥배곧한라비발디캠퍼스2차 202동옆 어린이놀이터1,20180102,주택단지,민간,실외,15011,,경기도 시흥시 배곧동 245번지 한라비발디캠퍼스2차,37.3619447034,126.7140213156
시흥시,583259,배곧 어울림2 어린이집 놀이시설,20220627,어린이집,공공,실외,15012,경기도 시흥시 배곧1로 30,경기도 시흥시 배곧동 274번지,37.3609599541,126.7123264491
시흥시,561064,시흥배곧 이지더원 에듀그린아파트 209동 앞 놀이터,20170816,주택단지,민간,실외,15012,경기도 시흥시 서울대학로 100,경기도 시흥시 배곧동 279번지 시흥배곧2차 EG thel 에듀그린,37.3589924046,126.714650582
시흥시,561062,시흥배곧 이지더원 에듀그린아파트 201동 앞 놀이터,20170816,주택단지,민간,실외,15012,경기도 시흥시 서울대학로 100,경기도 시흥시 배곧동 279번지 시흥배곧2차 EG thel 에듀그린,37.3589924046,126.714650582
시흥시,561066,시흥배곧 이지더원 에듀그린아파트 213동 앞 놀이터,20170816,주택단지,민간,실외,15012,경기도 시흥시 서울대학로 100,경기도 시흥시 배곧동 279번지 시흥배곧2차 EG thel 에듀그린,37.3589924046,126.714650582
시흥시,561065,시흥배곧 이지더원 에듀그린아파트 211동 앞 놀이터,20170816,주택단지,민간,실외,15012,경기도 시흥시 서울대학로 100,경기도 시흥시 배곧동 279번지 시흥배곧2차 EG thel 에듀그린,37.3589924046,126.714650582
시흥시,561063,시흥배곧 이지더원 에듀그린아파트 206동 앞 놀이터,20170816,주택단지,민간,실외,15012,경기도 시흥시 서울대학로 100,경기도 시흥시 배곧동 279번지 시흥배곧2차 EG thel 에듀그린,37.3589924046,126.714650582
시흥시,559648,시흥 프리미엄아울렛 플레이타임,20170428,놀이제공영업소,민간,실내,15010,경기도 시흥시 서해안로 699,경기도 시흥시 배곧동 36번지,37.3803293949,126.7369394796
시흥시,558758,신세계 사이먼 프리미엄 아울렛 놀이터,20170120,대규모점포,민간,실외,15010,경기도 시흥시 서해안로 699,경기도 시흥시 배곧동 36번지,37.3803293949,126.7369394796
시흥시,567757,시흥배곧 1차 대방노블랜드 어린이놀이터2(608동 앞),20190215,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 55번지 시흥배곧신도시대방노블랜드엘리트시티,37.3753283168,126.7371708586
시흥시,567755,시흥배곧 1차 대방노블랜드 유아놀이터(601동 앞),20190215,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 55번지 시흥배곧신도시대방노블랜드엘리트시티,37.3753283168,126.7371708586
시흥시,567756,시흥배곧 1차 대방노블랜드 어린이놀이터1(602동 앞),20190215,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 55번지 시흥배곧신도시대방노블랜드엘리트시티,37.3753283168,126.7371708586
시흥시,565718,배곧 센텀베이2차아파트 508동 앞 어린이놀이터,20180910,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 57번지 배곧센텀베이2차,37.3766446605,126.7344355121
시흥시,565597,배곧 센텀베이2차아파트 보육시설 앞 유아놀이터,20181004,주택단지,공공,실외,15010,,경기도 시흥시 배곧동 57번지 배곧센텀베이2차,37.3766446605,126.7344355121
시흥시,565599,배곧 센텀베이2차아파트 관리사무소 앞 어린이놀이터2,20181004,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 57번지 배곧센텀베이2차,37.3766446605,126.7344355121
시흥시,555825,시흥 배곧 골드클레스 아파트 놀이터1(107~110동사이),20160410,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 58번지 시흥배곧신도시골드클래스,37.3769469396,126.7323993918
시흥시,555826,시흥 배곧 골드클레스 아파트 놀이터2(103~107동사이),20160410,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 58번지 시흥배곧신도시골드클래스,37.3769469396,126.7323993918
시흥시,566450,배곧중흥S클래스아파트 101동 앞 놀이시설(물놀이터),20181121,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 5번지 배곧중흥에스클래스,37.384466379,126.7327180966
시흥시,566449,배곧중흥S클래스아파트 104동 앞 놀이시설(유아놀이터),20181121,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 5번지 배곧중흥에스클래스,37.384466379,126.7327180966
시흥시,566448,배곧중흥S클래스아파트 109동 앞 놀이시설(놀이터),20181121,주택단지,민간,실외,15010,,경기도 시흥시 배곧동 5번지 배곧중흥에스클래스,37.384466379,126.7327180966
시흥시,567323,중흥S클래스 - 키즈룸,20181222,주택단지,민간,실내,15010,,경기도 시흥시 배곧동 5번지 배곧중흥에스클래스,37.384466379,126.7327180966
시흥시,1001075,착한토끼 키즈카페 키즈룸 시흥배곧하우스,20240208,놀이제공영업소,민간,실내,15010,경기도 시흥시 배곧4로 103,경기도 시흥시 배곧동 77번지,37.3738692988,126.7345653684
시흥시,562251,꿈마루어린이공원(배곧2호),20171205,도시공원,공공,실외,15010,,경기도 시흥시 배곧동 86번지,37.3784550889,126.7297081294
시흥시,562460,해담어린이공원(배곧1호),20171220,도시공원,공공,실외,15010,,경기도 시흥시 배곧동 94번지,37.3792466918,126.7279384541
시흥시,554119,시흥목감 어린이공원 1호,20151207,도시공원,공공,실외,14990,,경기도 시흥시 산현동 140-2 (산현동 496-1),,
시흥시,562117,목감 레이크 푸르지오 202동 어린이놀이터,20171010,주택단지,민간,실외,14990,,경기도 시흥시 산현동 175,,
시흥시,562118,목감 레이크 푸르지오 207동 유아놀이터,20171010,주택단지,민간,실외,14990,,경기도 시흥시 산현동 175,,
시흥시,576412,카페더키즈 목감동,20190724,놀이제공영업소,민간,실내,14989,경기도 시흥시 목감전원로 38,경기도 시흥시 산현동 491-1번지,37.3773406438,126.8426326771
시흥시,564859,목감지구 중흥S-클래스아파트 어린이놀이터2(103동 앞),20180711,주택단지,민간,실외,14989,경기도 시흥시 목감남서로 92-15,경기도 시흥시 산현동 496번지 목감 중흥 s클래스 B-1,37.3751898336,126.8416349419
시흥시,564860,목감지구 중흥S-클래스아파트 유아놀이터(110동 앞),20180711,주택단지,민간,실외,14989,경기도 시흥시 목감남서로 92-15,경기도 시흥시 산현동 496번지 목감 중흥 s클래스 B-1,37.3751898336,126.8416349419
시흥시,564858,목감지구 중흥S-클래스아파트 어린이놀이터1(109동 앞),20180711,주택단지,민간,실외,14989,경기도 시흥시 목감남서로 92-15,경기도 시흥시 산현동 496번지 목감 중흥 s클래스 B-1,37.3751898336,126.8416349419
시흥시,565459,목감중흥S-CLASS레이크힐아파트키즈룸 실내놀이시설,20180829,주택단지,민간,실내,14989,경기도 시흥시 목감남서로 92-15,경기도 시흥시 산현동 496번지 목감 중흥 s클래스 B-1,37.3751898336,126.8416349419
시흥시,564439,목감호수품애아파트 304동 앞 어린이놀이터2,20180530,주택단지,민간,실외,14989,,경기도 시흥시 산현동 514번지 호수품애,37.3739415941,126.8440967215
시흥시,564847,목감호수품애아파트 306동 놀이터,20180706,주택단지,민간,실외,14989,,경기도 시흥시 산현동 514번지 호수품애,37.3739415941,126.8440967215
시흥시,565317,목감호수품애아파트 306동 어린이집 앞 놀이시설,20180715,주택단지,공공,실외,14989,,경기도 시흥시 산현동 514번지 호수품애,37.3739415941,126.8440967215
시흥시,566398,목감 호반베르디움 더숲 606동 앞 어린이놀이터 1,20181110,주택단지,민간,실외,14989,,경기도 시흥시 산현동 520번지 호반써밋더숲,37.3701088001,126.8469987067
시흥시,566399,목감 호반베르디움 더숲 610동 앞 어린이놀이터 2,20181110,주택단지,민간,실외,14989,,경기도 시흥시 산현동 520번지 호반써밋더숲,37.3701088001,126.8469987067
시흥시,566400,목감 호반베르디움 더숲 611동 앞 어린이놀이터 3,20181110,주택단지,민간,실외,14989,,경기도 시흥시 산현동 520번지 호반써밋더숲,37.3701088001,126.8469987067
시흥시,554120,시흥목감 어린이공원 2호,20151207,도시공원,공공,실외,14990,,경기도 시흥시 산현동 54-2 (산현동 519),,
시흥시,575542,시흥 장현 금강 펜테리움 센트럴파크 어린이놀이터3(603동),20200921,주택단지,민간,실외,,,경기도 시흥시 샛터말길 32-1 (군자동) 경기도 시흥시 샛터말길 32-1 (군자동),,
시흥시,575544,시흥 장현 금강 펜테리움 센트럴파크 유아놀이터(어린이집앞),20200921,주택단지,민간,실외,,,경기도 시흥시 샛터말길 32-1 (군자동) 경기도 시흥시 샛터말길 32-1 (군자동),,
시흥시,575540,시흥 장현 금강 펜테리움 센트럴파크 어린이놀이터2(605동뒤),20200921,주택단지,민간,실외,,,경기도 시흥시 샛터말길 32-1 (군자동) 경기도 시흥시 샛터말길 32-1 (군자동),,
시흥시,575521,시흥 장현 금강 펜테리움 센트럴파크 어린이놀이터1(피트니스센터 앞),20200924,주택단지,민간,실외,,,경기도 시흥시 샛터말길 32-1 (군자동) 경기도 시흥시 샛터말길 32-1 (군자동),,
시흥시,564954,배곧한라비발디3차 유아놀이터,20180718,주택단지,민간,실외,,,경기도 시흥시 서해안로 405 (정왕동),,
시흥시,564952,배곧한라비발디3차 어린이놀이터1,20180718,주택단지,민간,실외,,,경기도 시흥시 서해안로 405 (정왕동),,
시흥시,564953,배곧한라비발디3차 어린이놀이터2,20180718,주택단지,민간,실외,,,경기도 시흥시 서해안로 405 (정왕동),,
시흥시,576892,서울대학교 시흥캠퍼스 교직원 숙소 키즈카페 실내놀이시설,20201210,주택단지,민간,실내,,,경기도 시흥시 서해안로 405 (정왕동) 경기도 시흥시 서해안로 405 (정왕동),,
시흥시,537124,동화어린이집,20121218,어린이집,민간,실외,14922,,경기도 시흥시 수인로3247번길 27-13 (은행동) 경기도 시흥시 수인로3247번길 27-13 (은행동),,
시흥시,533006,시흥 신천동 연희아파트 마~바동 놀이터,20120618,주택단지,민간,실외,14949,,경기도 시흥시 신천동 275번지 연희아파트,37.4369976665,126.784461928
시흥시,533005,시흥 신천동 연희아파트 가~나동 놀이터,20120618,주택단지,민간,실외,14949,,경기도 시흥시 신천동 275번지 연희아파트,37.4369976665,126.784461928
시흥시,531958,시립대헌어린이집 놀이터,20111207,어린이집,민간,실외,14904,경기도 시흥시 문화마을로6번길 5-2,경기도 시흥시 신천동 314-155번지,37.4431112597,126.7804018538
시흥시,33595,태광아파트 놀이터,20090526,주택단지,민간,실외,14948,,경기도 시흥시 신천동 387번지 태광아파트,37.4381831193,126.7807768599
시흥시,1785,현대아파트 놀이터,20100416,주택단지,민간,실외,14947,,경기도 시흥시 신천동 452-1번지 현대아파트,37.4383452786,126.7792831846
