bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,region_div_nm,tot_floor_cnt,circumfr_envrn_nm,buldng_purpos_nm,ground_floor_cnt,bsmnt_floor_cnt,ship_tot_tonge,ship_spec_cont,mtngrm_atstm_aceptnc_psncnt,playfaclt_cnt,infodesk_extno,subfaclt_info
대야평생학습관,20040426,,13,영업중,,031-310-2524,,경기도 시흥시 은행로173번길 14 (대야동),경기도 시흥시 대야동 571-3,429874,37.4455175348,126.7968163486,,181933.080911607,438152.135409829,공연장,공연장,,,,,,,,,,,,
정왕평생학습관,20040608,,13,영업중,,031-310-6001,,경기도 시흥시 정왕대로233번길 21 (정왕동),경기도 시흥시 정왕동 1800-7,429450,37.3478304211,126.7404072295,,176928.091882098,427334.540864059,공연장,공연장,,,,,,,,,,,,
한울림관,20070731,,13,영업중,,031-315-1890,14914,"경기도 시흥시 은행로 179, 시흥시청소년수련관 (대야동)",경기도 시흥시 대야동 571-2 시흥시청소년수련관,14914,37.4460408308,126.7969018918,,181992.276738745,438229.692309296,공연장,공연장,,,,,,,,,,,,
어울림 소극장,20180220,,13,영업중,,031-310-2063,14902,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 3동 지1층 (대야동)",경기도 시흥시 대야동 332-1 시흥ABC행복학습타운 3동,14902,37.4485093838,126.7846914585,,180906.714094577,438586.806375632,공연장,공연장,,,,,,,,,,,,
ABC홀,20220725,,13,영업중,,031-310-2062,14902,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 (대야동)",경기도 시흥시 대야동 332-1 시흥ABC행복학습타운,14902,37.4485093838,126.7846914585,,180906.714094577,438586.806375632,공연장,공연장,,1,기타,문화시설,,,,,,,,
복지회관(소공연장),20021101,,03,폐업,20070726,031-310-2593,,경기도 시흥시 은행로173번길 14  (대야동),경기도 시흥시 대야동 571-3,429874,37.4455175348,126.7968163486,,181933.080911607,438152.135409829,공연장,공연장,,,,,,,,,,,,
KPU 아트센터,20070605,,03,폐업,20211021,031-8041-1210,,,경기도 시흥시 정왕동 2121,429450,37.3401991905,126.7336156822,,,,공연장,공연장,,,,,,,,,,,,
