사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값
헬로우짐(hellogym)휘트니스,20100108,,13,영업중,,031-504-0111,15066,"경기도 시흥시 정왕대로 230, 제일프라자 5층 (정왕동)",경기도 시흥시 정왕동 1734-7 제일프라자,15066,37.3449788088,126.7384940896,,176756.5870469820,427023.6990545530
트윈스포츠센터,20100512,,13,영업중,,031-311-0072,14912,"경기도 시흥시 비둘기공원7길 45, 트윈프라자 B동 5,6층 (대야동)",경기도 시흥시 대야동 545-1 트윈프라자,14912,37.4420193646,126.7921350993,,181538.3314994070,437792.8725761140
아쿠아온,20210727,,13,영업중,,031-315-2288,14999,"경기도 시흥시 장현능곡로 155, 장현지구 상업6BL 4층 411호 (능곡동)",경기도 시흥시 능곡동 235-1 장현지구 상업6BL,15121,37.3710186339,126.8072928232,,182864.7427635870,429902.0713735080
