시설명,소재지지번주소,주변상세설명,관리부서명,데이터기준일자,위도,경도,좌표확인상태,좌표출처
중대물빛공원,경기도 광주시 중대동 229,중대물빛공원,광주시청,20250307,37.4005853,127.2201255,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광주시호국보훈공원,경기도 광주시 경안동 168-1,광주시호국보훈공원,광주시청,20250307,37.4093602,127.2512846,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
청석공원,경기도 광주시 경안동 242,청석공원,광주시청,20250307,37.4119921,127.264843,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
팔당물안개공원,경기도 광주시 귀여리 596,팔당물안개공원,광주시청,20250307,37.5102065,127.3155242,OSM 시설명 일치,https://www.openstreetmap.org/way/815481133
퇴촌아이누리놀이터,경기도 광주시 도수리 776-6,퇴촌아이누리놀이터,광주시청,20250307,37.4712253,127.3148615,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
도람근린공원,경기도 광주시 역동 412,도람근린공원,광주시청,20250307,37.40055,127.2504195,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
송정지구 3호 소공원,경기도 광주시 송정동 663,송정지구 3호 소공원,광주시청,20250307,37.4200475,127.2542503,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
목현천도시숲,경기도 광주시 경안동 265-1,목현천도시숲,광주시청,20250307,37.4165751,127.2507405,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
대쌍령리 생태도시숲,경기도 광주시 초월읍 대쌍령리 301-12,대쌍령리 생태도시숲,광주시청,20250307,37.3833205,127.2843823,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
팔당물안개공원,경기도 광주시 귀여리 596,팔당물안개공원,광주시청,20250307,37.5102065,127.3155242,OSM 시설명 일치,https://www.openstreetmap.org/way/815481133
퇴촌아이누리놀이터,경기도 광주시 도수리 776-6,퇴촌아이누리놀이터,광주시청,20250307,37.4712253,127.3148615,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
송정지구 3호 소공원,경기도 광주시 송정동 663,송정지구 3호 소공원,광주시청,20250307,37.4200475,127.2542503,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
장자호수공원 반려견놀이터,경기 구리시 교문동 537,장자호수공원 반려견놀이터 내,구리시청,20240310,37.5825384,127.1387981,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
장자호수공원1,수택동878번지,생태체험관 뒤편,구리시청,20240310,37.5860576,127.1410732,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
갈매협동공원 반려견놀이터,경기 구리시 갈매동 551,갈매협동공원 반려견놀이터 내,구리시청,20240310,37.6356573,127.1256006,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
왕숙천변 반려견 간이 놀이터,경기 구리시 인창동 248-3,왕숙천변 반려견 간이 놀이터 내,구리시청,20240310,37.6050578,127.1482354,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
장자호수공원2,수택동878번지,상류화장실 뒤편,구리시청,20240310,37.5860576,127.1410732,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
인창중앙공원 반려견놀이터,경기 구리시 동구릉로66번길 29,인창중앙공원 반려견놀이터 내,구리시청,20240310,37.6047243,127.1368016,OSM 도로명주소 일치,https://www.openstreetmap.org/way/539867189
배변봉투함2,경기도 동두천시 생연동 817,신천 산책로 부근,동두천시청,20250304,37.9042711,127.0498497,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
배변봉투함1,경기도 동두천시 지행동 725-8,메타세쿼이아길 산책로 부근,동두천시청,20250304,37.8886456,127.0553674,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
중앙공원,경기도 부천시 원미구 중동 1177,,부천시청,20250228,37.5006043,126.7637161,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
복사골공원,경기도 부천시 원미구 중동 1271,,부천시청,20250228,37.4928278,126.7747734,OSM 시설명 일치,https://www.openstreetmap.org/way/468429894
상동호수공원,경기도 부천시 원미구 상동549,,부천시청,20250228,37.5061237,126.7441496,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
소사대공원,경기도 부천시 소사구 소사본동 326-1,,부천시청,20250228,37.4679421,126.7966443,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
소새울공원,경기도 부천시 소사구 소사본동 157,,부천시청,20250228,37.4766553,126.7986998,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
괴안체육공원,경기도 부천시 소사구 괴안동 262,,부천시청,20250228,37.4762263,126.8110247,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
버들공원,경기도 부천시 소사구 옥길동 752-1,,부천시청,20250228,37.4610589,126.8255451,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
용못내공원,경기도 부천시 소사구 옥길동 735,,부천시청,20250228,37.4679895,126.8261054,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
은데미공원,경기도 부천시 오정구 작동 60-32,,부천시청,20250228,37.5183141,126.812706,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
여월체육공원,경기도 부천시 오정구 여월동 317,,부천시청,20250228,37.5144085,126.8040655,OSM 시설명 일치,https://www.openstreetmap.org/way/768822765
267호 소공원,경기도 부천시 원미구 원미동 39-5,,부천시청,20250228,37.5004653,126.7905179,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
반려견 놀이터,경기도 성남시 분당구 삼평동 638,구숯내교 인근,성남시청,20250310,37.3984912,127.1108895,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 분당구 성남대로 550,중앙공원 야외공연장 인근,성남시청,20250310,37.369552,127.1080218,OSM 도로명주소 일치,https://www.openstreetmap.org/way/472266461
반려견 놀이터,경기도 성남시 분당구 율동 산2-1,율동공원 번지점프 앞 놀이터 인근,성남시청,20250310,37.3789323,127.1460688,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 중원구 금광동 2463,황송공원 농구장 인근,성남시청,20250310,37.4459454,127.1728206,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 수정구 수진동 4690-1,수진쉼터 인근,성남시청,20250310,37.4369818,127.1196995,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 분당구 야탑동 555,사송교 인근,성남시청,20250310,37.4108699,127.1228529,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 분당구 정자동 100-3,궁내교 인근,성남시청,20250310,37.3687912,127.1090265,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
반려견 놀이터,경기도 성남시 분당구 구미동 79,구미 물놀이장 인근,성남시청,20250310,37.3424774,127.1184051,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
대유평공원,경기도 수원시 정자동 948,어린이 놀이터 주변,수원시청,20250310,37.289816,126.990889,OSM 시설명 일치,https://www.openstreetmap.org/way/916917809
대유평공원,경기도 수원시 정자동 948,생태계류 중간,수원시청,20250310,37.289816,126.990889,OSM 시설명 일치,https://www.openstreetmap.org/way/916917809
대유평공원,경기도 수원시 정자동 948,111cm 화장실 앞,수원시청,20250310,37.289816,126.990889,OSM 시설명 일치,https://www.openstreetmap.org/way/916917809
정자공원,경기도 수원시 정자동 869-1,게이트볼장 주변,수원시청,20250310,37.355692,127.121471,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
정자문화공원,경기도 수원시 장안구 정자동 947,관리실 옆,수원시청,20250310,37.3095764,126.9864004,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",맹꽁이화장실 주변,수원시청,20250310,37.3006468,127.0008731,OSM 시설명 일치,https://www.openstreetmap.org/way/38141486
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",교구정화장실 입구,수원시청,20250310,37.3006468,127.0008731,OSM 시설명 일치,https://www.openstreetmap.org/way/38141486
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",광장~저수지 입구,수원시청,20250310,37.3006468,127.0008731,OSM 시설명 일치,https://www.openstreetmap.org/way/38141486
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",공원정문 우측,수원시청,20250310,37.3006468,127.0008731,OSM 시설명 일치,https://www.openstreetmap.org/way/38141486
만석공원,"경기도 수원시 장안구 송죽동, 정자동 일원(정조로 1087)",연꽃화장실 앞,수원시청,20250310,37.3006468,127.0008731,OSM 시설명 일치,https://www.openstreetmap.org/way/38141486
광교공원,경기도 수원시 장안구 하광교동 393-2 일원,공원입구~관리실 방향 중간 지점,수원시청,20250310,37.3015045,127.0312636,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
효원공원,경기도 수원시 팔달구 인계동1117,까지화장실 앞,수원시청,20250310,37.2593922,127.0364507,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
효원공원,경기도 수원시 팔달구 인계동1117,나혜석거리쪽 입구,수원시청,20250310,37.2593922,127.0364507,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
효원공원,경기도 수원시 팔달구 인계동1117,육교쪽 입구,수원시청,20250310,37.2593922,127.0364507,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
예술공원,경기도 수원시 팔달구 인계동1128,야외음악당 동쪽 산책로,수원시청,20250310,37.2593922,127.0364507,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
예술공원,경기도 수원시 팔달구 인계동1128,야외음악당 서쪽 산책로,수원시청,20250310,37.2593922,127.0364507,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
청소년문화공원,경기도 수원시 팔달구 인계동349,자연마당,수원시청,20250310,37.271285,127.0341519,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
청소년문화공원,경기도 수원시 팔달구 인계동349,신반포아파트쪽 입구,수원시청,20250310,37.271285,127.0341519,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
청소년문화공원,경기도 수원시 팔달구 인계동349,수정아파트쪽 입구,수원시청,20250310,37.271285,127.0341519,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
청소년문화공원,경기도 수원시 팔달구 인계동349,새천년수영장 뒤 산책로,수원시청,20250310,37.271285,127.0341519,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
청소년문화공원,경기도 수원시 팔달구 인계동349,화장실 앞,수원시청,20250310,37.271285,127.0341519,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
숙지공원,경기도 수원시 팔달구 화서동264,야외무대 앞,수원시청,20250310,37.2844106,126.9973385,OSM 시설명 일치,https://www.openstreetmap.org/way/499671274
서호공원,경기도 수원시 팔달구 화서동436-1,진입광장,수원시청,20250310,37.2787093,126.9892577,OSM 시설명 일치,https://www.openstreetmap.org/way/475057596
서호공원,경기도 수원시 팔달구 화서동436-1,중앙광장,수원시청,20250310,37.2787093,126.9892577,OSM 시설명 일치,https://www.openstreetmap.org/way/475057596
서호공원,경기도 수원시 팔달구 화서동436-1,잔디광장,수원시청,20250310,37.2787093,126.9892577,OSM 시설명 일치,https://www.openstreetmap.org/way/475057596
광교호수공원,경기도 수원시 영통구 하동 995,광교호수공원 신대호수 북측 수변보행데크2 인근,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
서호꽃뫼공원,경기도 수원시 팔달구 화서동410-3,국기게양대,수원시청,20250310,37.284208,126.9867613,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 1024,광교호수공원 신비한물너미 인근,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 998,광교호수공원 신대호수 남측 산책로,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 1000,광교호수공원 신대호수 제방 산책로,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 999,광교호수공원 재미난밭,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 1023,광교호수공원 어번레비 화장실 인근,수원시청,20250310,37.2749928,127.0652651,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 1023,광교호수공원 거울못 인근,수원시청,20250310,37.2749928,127.0652651,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
효원공원,경기도 수원시 팔달구 인계동1117,월화원 앞,수원시청,20250310,37.2593922,127.0364507,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
광교호수공원,경기도 수원시 영통구 하동 1024,광교호수공원 제1주차장 앞,수원시청,20250310,37.2749928,127.0652651,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
매화공원,권선구 금곡동 1122,애견놀이터 내부,수원시청,20250310,37.2695228,126.9498476,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
세류문화공원,권선구 세류동 503-2,도서관 인근,수원시청,20250310,37.2583056,127.0071658,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
고렴공원,권선구 곡반정동 546,광장 인근,수원시청,20250310,37.24063,127.0292104,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
권선중앙공원,권선구 권선동 1269,"광장 인근, 배드민턴장 인근",수원시청,20250310,37.2513814,127.0311845,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
올림픽공원,권선구 권선동 1012,"광장 인근, 애견놀이터 인근",수원시청,20250310,37.2614727,127.0285798,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
마중공원,권선구 권선동 1348,"광장 인근, 애견놀이터 인근, 생태호수 인근",수원시청,20250310,37.2385727,127.0193,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
대유평공원,경기도 수원시 정자동 948,공원 입구,수원시청,20250310,37.289816,126.990889,OSM 시설명 일치,https://www.openstreetmap.org/way/916917809
산현공원,경기도 시흥시 조남동 670,야외무대 앞,시흥시청,20250310,37.375453,126.851181,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
갯골생태공원1,경기도 시흥시 동서로 287,수상자전거 탑승장 앞,시흥시청,20250310,37.3855702,126.8053671,OSM 도로명주소 일치,https://www.openstreetmap.org/way/391659547
갯골생태공원2,경기도 시흥시 동서로 287,취사존 앞,시흥시청,20250310,37.3855702,126.8053671,OSM 도로명주소 일치,https://www.openstreetmap.org/way/391659547
갯골생태공원3,경기도 시흥시 동서로 287,"어린이놀이터, 염전 사이",시흥시청,20250310,37.3855702,126.8053671,OSM 도로명주소 일치,https://www.openstreetmap.org/way/391659547
목감공원,경기도 시흥시 목감동 398,대형 파고라 옆,시흥시청,20250310,37.385593,126.861279,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
능곡공원,경기도 시흥시 능곡동 489,공원입구 좌측,시흥시청,20250310,37.376083,126.812551,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
승지공원,경기도 시흥시 능곡동 552,파고라 옆,시흥시청,20250310,37.371378,126.813132,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
가래울공원,경기도 시흥시 능곡동 793,수목토 아파트 앞,시흥시청,20250310,37.3651166,126.8138104,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
실개울공원,경기도 시흥시 능곡동 777,연못 옆,시흥시청,20250310,37.3656035,126.8104717,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
능골공원,경기도 시흥시 능곡동 781,관리사무실 앞,시흥시청,20250310,37.3655394,126.8082886,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
